State,Latitude,Longitude
Andhra Pradesh,15.9129,79.73999
Arunachal Pradesh,28.2180,94.7278
Assam,26.2006,92.9376
Bihar,25.0961,85.3131
Chhattisgarh,21.2787,81.8661
Goa,15.2993,74.1240
Gujarat,22.2587,71.1924
Haryana,29.0588,76.0856
Himachal Pradesh,31.1048,77.1734
Jharkhand,23.6102,85.2799
Karnataka,15.3173,75.7139
Kerala,10.8505,76.2711
Madhya Pradesh,22.9734,78.6569
Maharashtra,19.7515,75.7139
Manipur,24.6637,93.9063
Meghalaya,25.4670,91.9670
Mizoram,23.1645,92.9376
Nagaland,26.1584,94.5624
Odisha,20.9517,85.0985
Punjab,30.7333,75.8080
Rajasthan,27.0238,74.2179
Sikkim,27.5330,88.5122
Tamil Nadu,11.1271,78.6569
Telangana,18.1124,79.0193
Tripura,23.8354,91.7470
Uttar Pradesh,26.8467,80.9462
Uttarakhand,30.0668,79.0193
West Bengal,22.9868,87.8550
